id,Proposal_no,Onlineuserid,user_id,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm
23037,FP/AP/MIN/31646/2018,64972,NA,"M/s. Sri. Nagalingeswara Mines & Minerals, Anantapur has been granted the mining lease over an extent of 4.00 Hect in Compartment no. 593 (P) and 594 (P), Mutchukota R.F, Gooty Range, in Sy.No. 300/P of Julakalva Village, Singanamala Mandal Anantapur District Ananthapuram District, Andhra Pradesh State",Mining,NAGALINGESWARA MINES,4.24525,2-Feb-18,Andhra Pradesh,Draft,
22751,FP/AP/MIN/31359/2018,63913,NA,"Renewal of Mining Lease in Favour of SathyamMinesCorporation Chittoor, AP",Mining,SATHYAMMINESCORPORATION,4.52,13-Jan-18,Andhra Pradesh,Draft,
17642,FP/AP/MIN/25947/2017,51252,4-APB933/2013 BAN,"Julakalva Steatite Mine of M/s Bramaramba Mineral Company, Tadipatri for Steatite",Mining,BRAMARAMBA MINERAL COMPANY TADIPATRIN,4.68,4-Jan-18,Andhra Pradesh,APPROVED,7-May-18
21813,FP/AP/QRY/30405/2017,61492,4-APB049/2017-CHN,"Proposal for Renewal of Quarry lease for an extent of 3.56 Ha(Mining area-2.43, SZ area-0.47, Road area-0.66) in Bollapalli R.F., compartment No.33 Ravulapuram Beat, Bollapalli mandal, Vinukonda Range of Guntur Forest Division in favour of M/s T.S.Mallikharjun Rao, Guntur",Quarrying,TS MALLIKHARJUNA RAO,3.56,22-Nov-17,Andhra Pradesh,IN-PRINCIPLE,13-Dec-17
21450,FP/AP/QRY/30052/2017,2519,NA,"Proposal for Renewal of Quarry lease in favour of M/s Sri Sai Rocks, Chittoor District, A.P.",Quarrying,MS SRI SAI ROCKS,7.25,14-Nov-17,Andhra Pradesh,Draft,
18086,FP/AP/MIN/26408/2017,52227,NA,Mutchukota Barytes Mine of Smt A.Sumana,Mining,MUTCHUKOTA BARYTES MINE OF SMT ASUMANA,2,1-Nov-17,Andhra Pradesh,Draft,
18048,FP/AP/QRY/26370/2017,52109,NA,"Renewal of mining lease in favour of T.Satyavathi, W/o.Late T.Jaya Prakash.",Quarrying,T SATYAVATHI,1.25,30-May-17,Andhra Pradesh,Pending at DFO/DCF,
14221,FP/AP/MIN/21611/2016,16855,4-APC039/2017-CHN,Renewal of Mining Lease in f/o M/s Vaishnav Granites,Mining,VAISHNAV GRANITES,5.43,20-Apr-17,Andhra Pradesh,IN-PRINCIPLE,6-Jul-17
16156,FP/AP/MIN/23703/2017,17713,NA,"Renewal of Mining Lease in f/o M/s Vishnu Granites, Chittoor, A.P",Mining,VISHNU GRANITES,5.24,1-Feb-17,Andhra Pradesh,Draft,
14882,FP/AP/MIN/22334/2016,16420,4-APB033/2017-CHN,"Renewal of mining lease for extraction of Black Granite , in favour of Jyotheeswaram Granites, Chittoor.",Mining,JYOTHEESWARAM GRANITES,2.92,16-Nov-16,Andhra Pradesh,APPROVED,5-Apr-17
14671,FP/AP/QRY/22116/2016,42484,4-APC021/2016-CHN,"Renewal Mining Lease in favour of M/s.Nagamani Granites, Tirupathi, Chittoor District, A.P.",Quarrying,NAGAMANI GRANITES,5.92,7-Nov-16,Andhra Pradesh,APPROVED,9-Nov-16
14347,FP/AP/MIN/21756/2016,17713,4-APB036/2017-CHN,"Renewal of Mining Lease in f/o M/s Vishnu Granites, Chittoor, A.P.",Mining,VISHNU GRANITES,3.01,19-Oct-16,Andhra Pradesh,APPROVED,6-Apr-17
14262,FP/AP/MIN/21655/2016,2797,4-APB035/2017-CHN,"Renewal of Mining Lease in f/o M/s Jayasree Granites, Chittoor, A.P.",Mining,JAYASREE GRANITES,3.6,2-Oct-16,Andhra Pradesh,APPROVED,6-Apr-17
13790,FP/AP/QRY/21153/2016,39628,NA,"Renewal of Quarry lease filed by Sri Y. Ramakrishna Reddy, Mg. Partner, 2.50 Ha.in Compt.No.219 of Veerisettipalli RF, Chittoor West Division, Chittoor Dist.",Quarrying,SIVASAKTHI GRANITES,2.5,2-Sep-16,Andhra Pradesh,Draft,
13130,FP/AP/QRY/20459/2016,37975,NA,"Renewal of Mining Lease in favour M/s Prashanthi Granites, Chittoor District.",Quarrying,PRASHANTHI GRANITES,3.8,19-Jul-16,Andhra Pradesh,Draft,
12852,FP/AP/QRY/20166/2016,32842,4-APB024/2016-CHN,"Renewal of Quarry lease filed by Sri. N. Sivarama Prasad, Guntur District, A.P.",Quarrying,SRI NAGOTHU SIVARAMA PRASAD,1.75,2-Jul-16,Andhra Pradesh,APPROVED,13-Oct-16
9756,FP/AP/MIN/16688/2015,16420,NA,For renewal of mining lease for extraction of Black Granite,Mining,JYOTHEESWARAM GRANITES,2.25,17-Mar-16,Andhra Pradesh,Draft,
5118,FP/AP/MIN/11403/2015,6826,NA,Mutchukota Barytes Mine,Mining,SMT A SUMANA,2,1-Apr-15,Andhra Pradesh,Draft,
30539,FP/AR/MIN/37054/2018,1263,NA,Renewal of FC for Loc-KUC (Well No. KMC-3),Mining,OIL INDIA LIMITED NEF PROJECT,3.96,8-Dec-18,Arunachal Pradesh,Pending at RO,21-Feb-20
30543,FP/AR/MIN/37058/2018,1263,NA,"Renewal of FC for Loc-KUP & KUL with drilling of additional wells KUAU, KUAX, KUAV, KUAW, KUAT & Loc- E, F & G",Mining,OIL INDIA LIMITED NEF PROJECT,7.111,15-Nov-18,Arunachal Pradesh,Pending at Nodal Officer,21-Feb-20
23322,FP/CG/MIN/31934/2018,41939,NA,"Renewal of Mining Lease over an extent of 322.368 Ha Forest land for Bailadila Iron Ore Project, Deposit-14, Kirandul, South Bastar Dantewada Dt, C.G for continuation of existing Iron Ore Mining Operations.",Mining,NMDC LIMITED BIOM KIRANDUL,322.368,12-Dec-18,Chhattisgarh,Draft,
3712,FP/CG/MIN/9878/2015,5733,NA,"Application in Form-B for obtaining Forest clearance for renewal of Mining Lease over 322.368 Ha of Forest land for Bailadila Iron Ore Mine, Deposit-14 ML Mining Lease, Kirandul Dantewada Forest Division, South Bastar Dantewada District, Chhattisgarh in favour of M/s. NMDC Limited",Mining,NMDC LIMITED,322.368,5-Feb-15,Chhattisgarh,Draft,
37255,FP/GJ/Others/42827/2019,83376,NA,salt lease renewal,Others,CENTURY CHEMICALS,742.42,16-Nov-19,Gujarat,Pending With UA,
37267,FP/GJ/MIN/42839/2019,83376,NA,MINING LEASE TO SANCTUARY CHEMICALS FOR MANUFACTURING SALT,Mining,CENTURY CHEMICALS,742.42,14-Nov-19,Gujarat,Under Examination,
35998,FP/GJ/Others/41563/2019,83376,NA,Century Chemicals,Others,CENTURY CHEMICALS,742.42,9-Aug-19,Gujarat,Under Examination,
35940,FP/GJ/Others/41505/2019,83376,NA,Century Chemicals,Others,CENTURY CHEMICALS,742.42,9-Aug-19,Gujarat,Under Examination,
33360,FP/GJ/Others/39914/2019,83376,NA,CENTURY CHEMICALS,Others,CENTURY CHEMICALS,742.42,5-Jun-19,Gujarat,Under Examination,
33349,FP/GJ/Others/39903/2019,83376,NA,CENTURY CHEMICALS,Others,CENTURY CHEMICALS,742.42,19-Apr-19,Gujarat,Under Examination,
31941,FP/GJ/Others/38478/2019,83376,NA,Century Chemicals,Others,CENTURY CHEMICALS,742.42,3-Apr-19,Gujarat,Under Examination,
31940,FP/GJ/Others/38477/2019,83376,NA,Century Chemicals,Others,CENTURY CHEMICALS,742.42,22-Jan-19,Gujarat,Under Examination,
28176,FP/GJ/MIN/34705/2018,75394,NA,COMMERCIAL STONE SUPPLYING CO.,Mining,COMMERCIAL STONE SUPPLYING CO CHOTAUDEPUR,5,13-Jul-18,Gujarat,Draft,
14083,FP/GJ/WATER/21465/2016,9364,NA,DRINKING WATER PIPELINE FROM KHODIYAR DAM TO AMRELI,Drinking Water,AMRELI MUNICIPALITY AMRELI,0.465,17-Sep-16,Gujarat,Draft,
11799,FP/GJ/MIN/18976/2016,32098,NA,Kanawat Dolomite Mine,Mining,ALI HUSEN HAJI MOHAMMADALI MINING,18.88,16-Apr-16,Gujarat,Draft,
12850,FP/HR/IRRIG/20164/2016,1782,NA,Lining of channel in the land of existing abandoned channel,Irrigation,Irrigation Department,7.61,23-Jun-16,Haryana,Under Examination,
21075,FP/HP/MIN/29720/2017,47697,NA,Renewal of 0.4606 ha of forest land for mining,Mining,NANAK CHAND DHIMAN,0.4606,29-Jan-19,Himachal Pradesh,Pending With UA,
24003,FP/HP/MIN/32622/2018,65334,NA,Renewal of Mining Quarry Site at Khegsu,Mining,SATYAPAULTHAKUR,1,18-Dec-18,Himachal Pradesh,Pending With UA,
28636,FP/HP/IND/35171/2018,58266,NA,"Diversion of 0.0934 ha (instead of 0.2898 ha) of forest land for the already established stone crusher at village- Pashada, P.O.- Khenari, Tehsil-Rampur, Dist.- Shimla, HP",Industry,M/S BUSHAHR LAGHU UDYOG,0.0934,30-Aug-18,Himachal Pradesh,Pending With UA,21-Feb-19
14848,FP/HP/MIN/22298/2016,43008,8B/HP/05/130/2017/FC,Makhroti Slates Quarry,Mining,HIMACHAL SLATES STONES,1.392,28-Apr-18,Himachal Pradesh,IN-PRINCIPLE,28-Dec-17
16555,FP/HP/MIN/24378/2017,45634,NA,Bhuvneshwari Stone Crusher,Mining,BHUVNESHWARI STONE CRUSHER,1.2,17-Feb-17,Himachal Pradesh,Draft,
15606,FP/HP/Others/23138/2016,44323,8B/HPB/09/33/2017/FC,"Renewal of 0.447 ha. of forest land lease of existing stone crusher in favour of Shri Abhishek Thakur Prop. M/S Murari Mata Stone crusher, Silli.",Others,MS MURARI MATA STONE CRUSHER,0.447,23-Dec-16,Himachal Pradesh,APPROVED,8-Mar-17
12570,FP/HP/Others/19867/2016,35867,NA,"CONSTRUCTION OF HELIPAD AT CHOWARI, TEHSIL BHATTIYAT, DISTT. CHAMBA, H.P.",Others,TOURISM AND CIVIL AVIATION,0.2,6-Jun-16,Himachal Pradesh,Draft,
12052,FP/HP/Others/19246/2016,30861,NA,"Construction of Yatri Niwas near Bhadra Kali Mata Temple Bhalei Distt. Chamba, HP",Others,TOURISM AND CIVIL AVIATION DEPARTMENT,0.17,23-May-16,Himachal Pradesh,Draft,
9140,FP/HP/MIN/16013/2015,13933,NA,M/S Luxmi stone crusher,Mining,LUXMI STONE CRUSHER,0.78,15-Oct-15,Himachal Pradesh,Draft,
5075,FP/HP/MIN/11358/2015,6798,NA,Sh. Amar Lal Prop. M/s Sangla Industries,Mining,SANGLA INDUSTRIES,0.4046,2-Apr-15,Himachal Pradesh,Draft,
37038,FP/JH/MIN/42609/2019,96155,NA,New Gidi C OCP,Mining,Central Coalfields Limited,73.55,15-Jun-20,Jharkhand,Under Examination,
39659,FP/JH/MIN/45247/2020,102948,NA,KDH OCP,Mining,Central Coalfields Limited,101.41,8-Apr-20,Jharkhand,Under Examination,
29920,FP/JH/MIN/36448/2018,77287,NA,Parej East OCP (43.52 Ha),Mining,Central Coalfields Limited,43.52,12-Mar-20,Jharkhand,Pending at DFO/DCF,
35757,FP/JH/MIN/41321/2019,94629,NA,Piparwar OCP,Mining,Central Coalfields Limited,43.3,13-Feb-20,Jharkhand,Draft,
33678,FP/JH/MIN/40233/2019,90399,NA,Jharkhand OCP,Mining,Central Coalfields Limited,57.94,9-Dec-19,Jharkhand,Draft,
30896,FP/JH/MIN/37402/2018,82124,NA,TULSIDAMAR DOLOMITE MINE,Mining,Steel Authority of India Limited (SAIL),101.32,1-Jun-19,Jharkhand,Draft,
4406,FP/JH/MIN/10632/2015,6141,8/1/2016,Jaduguda uranium mines,Mining,URANIUM CORPORATION OF INDIA LIMITED,134.424,21-Mar-15,Jharkhand,APPROVED,22-Jan-16
2697,FP/JH/MIN/8764/2014,2431,NA,Langraparas Stone Quarry,Mining,RAHUL,1.21,2-Mar-15,Jharkhand,Pending at DFO/DCF,
2932,FP/JH/MIN/9019/2014,2735,NA,"DIVERSION PROPOSAL FOR 323.887 Ha OF AJITABURU LEASE OF MANOHARPUR ORE MINES, CHIRIA, M/s SAIL",Mining,MANOHARPUR ORE MINES STEEL AUTHORITY OF INDIA LTD RAW MATERIAL DIVISION,323.887,5-Jan-15,Jharkhand,Draft,
39577,FP/KA/MIN/45164/2020,96588,NA,"Renewal of 24.47 Ha for Mining Lease of Forest land etc. in Connection with obtaining Forest Clearance to Ms Kirloskar Bharath Mines ML No.2245 (Swamymalai Block Forest, Ranjithpura Village, Sandur Ta",Mining,KIRLOSKAR FERROUS INDUSTRIES LTD,24.47,4-Jun-20,Karnataka,Draft,
36228,FP/KA/MIN/41793/2019,41576,NA,"Renewal of forest clearance for Ubbalagundi Iron Ore Mine ML No. 008(995) of M/s. JSW Steel Ltd., in D.M. Block Forest & Ubbalagundi Reserve Forest near Ubbalagundi Village, Sandur Taluk, Ballari District & Division, Karnataka",Mining,JSW Steel Limited,32.89,28-May-20,Karnataka,Pending at DFO/DCF,
39827,FP/KA/ROAD/45415/2020,99354,NA,Renewal of 1.21 ha of forest land in Shimoga city Alkola timber Depot for 100 feet road formation under ring road to Shimoga city,Road,SHIVAMOGGA-BHADRAVATHI URBAN DEVELOPMENT AUTHORITY,1.21,20-May-20,Karnataka,Draft,
34124,FP/KA/MIN/40682/2019,44299,NA,Ramdev Iron Ore Mine of M/s MSPL LIMITED - ML No 2563,Mining,MSPL LIMITED,30.09,5-May-20,Karnataka,Pending With UA,
38209,FP/KA/WIND/43786/2020,99666,NA,"Renewal of Lease for 106.769 Ha (Earlier Approved area of 221.80 Ha) of Forest Land used for Wind Power Project in Chitradurga, Karnataka",Wind Power,WIND WORLD INDIA LTD,106.769,9-Jan-20,Karnataka,Pending at DFO/DCF,
37260,FP/KA/WIND/42832/2019,99666,NA,"Renewal of Lease for 116.041 Ha (Earlier Approved area of 221.80 Ha) of Forest Land used for Wind Power Project in Chitradurga, Karnataka",Wind Power,WIND WORLD INDIA LTD,116.041,15-Nov-19,Karnataka,Draft,
36078,FP/KA/IND/41643/2019,94590,NA,Sahyadri Papers renewal of FC lease in Forest Sy. No. 232 of sirsi village Uttara Kannada district Karnataka,Industry,SAHYADRI PAPERS,2,16-Sep-19,Karnataka,PENDING WITH-SG,
32986,FP/KA/Others/39537/2019,87148,NA,"Renewal of FC lease for existing Godly Museum at Chamundi Hills, Mysore",Others,PRAJAPITA BRAHMA KUMARIS ISHWARIYA VISHWA VIDYALAYA MYSORE,0.09,6-Apr-19,Karnataka,Draft,
31238,FP/KA/ROAD/37771/2018,79627,NA,"Renewal of 0.675 ha of forest land for use of old used approach road in D.M. Reserve Forest Block in Sandur Range, Ballari Division & District in favour of M/s K.E.J. Minerals Private Limited, Bengaluru.",Road,KEJ MINERALS PVT LTD,0.675,11-Jan-19,Karnataka,Draft,
30306,FP/KA/Others/36833/2018,80424,NA,PROPOSAL FOR RENEWAL OF EXISTING LEASE OF STONE CRUSHER,Others,AA KOTEBAGIL,0.17,31-Oct-18,Karnataka,Draft,
27974,FP/KA/WIND/34510/2018,47520,NA,"Renewal of Lease for 221.8 Hac of Forest Land used for establishment of Wind Power Project in Chitradurga, Karnataka",Wind Power,WIND WORLD INDIA LTD,221.8,6-Jul-18,Karnataka,Draft,
27468,FP/KA/IND/33998/2018,73861,NA,"Secretary Kyadgi Milk Product Sahakari Sangha ltd Kyadgi, Construction of Milk Dairy Building",Industry,KYADGI DAIRY,0.03,7-Jun-18,Karnataka,Draft,
22754,FP/KA/ROAD/31362/2018,60269,NA,"Diversion of (40MX9M) 0.036Ha.of Forest land in F.Sy.No. 49, Chipgi Village Sirsi taluka for laying out a approach road renewal proposal.",Road,"PANCHAYAT DEVELOPMENT OFFICE, ISLUR SIRSI TALUK",0.036,24-Jan-18,Karnataka,PENDING WITH-SG,
20500,FP/KA/IND/29212/2017,57584,NA,Bharat Sugar Mills Ltd. now E.I.D.- Parry (India) Limited,Industry,EID PARRY INDIA LIMITED,1.28,18-Sep-17,Karnataka,Pending at DFO/DCF,
17063,FP/KA/MIN/25219/2017,639,8-12/2018-FC,"Renewal of Mining Lease ML No. 2365 of M/s. Tungabhadra Minerals Pvt. Ltd., recently allocated to M/s. JSW Steel Ltd., Toranagallu over an extent of 130.53 Ha. and an approach road over an extent of 3.05 ha. to link both the blocks/parts of the lease in Donimalai Block, Sandur South Range, Sandur Taluk, Ballari District, Karnataka.",Mining,JSW STEEL LIMITED,133.58,25-Aug-17,Karnataka,APPROVED,12-Mar-18
16703,FP/KA/MIN/24713/2017,639,8-07/2018-FC,"Renewal of Mining Lease ML No. 2290 of M/s. V.S. Lad & Sons, recently allocated to M/s. JSW Steel Ltd., Toranagallu over an extent of 100.54 Ha. in Swamymalai Block, Sandur Taluk, Ballari District.",Mining,JSW STEEL LIMITED,100.54,17-Jul-17,Karnataka,APPROVED,23-Jan-18
18202,FP/KA/IND/26527/2017,52511,No.4-KRB1248/2020-BAN,KIRLOSKAR FERROUS INDUSTRIES LTD,Industry,KIRLOSKAR FERROUS INDUSTRIES,0.9755,6-Jun-17,Karnataka,IN-PRINCIPLE,22-Apr-20
18006,FP/KA/IRRIG/26326/2017,50936,NA,Construction of NRBC D-9(A) from Ch:0.00 to 8.18km,Irrigation,KBJNL,19.32,25-May-17,Karnataka,Draft,
15708,FP/KA/IRRIG/23244/2016,42620,NA,CONSTRUCTION OF NRBC FROM KM0.000 TO KM 95.000,Irrigation,KBJNL,199.35,23-Dec-16,Karnataka,Draft,
1328,FP/KA/MIN/6902/2014,884,NA,Jigenahalli Mn Ore MIne,Mining,GADIGI MINERAL MINING COMPANY,50.29,17-Oct-16,Karnataka,Draft,
13752,FP/KA/Others/21113/2016,1552,NA,Murnad power substation,Others,EXECUTIVE ENGINEER CESC MADIKERI,0.4,6-Sep-16,Karnataka,Pending at DFO/DCF,
13703,FP/KA/IND/21063/2016,28732,NA,Aerial Ropeway for Lime Stone Transportation,Industry,HEIDELBERG CEMENT INDIA LTD,8,5-Sep-16,Karnataka,Pending at CF/CCF,
9566,FP/KA/DISP/16473/2015,15330,NA,Catholic Diocese of Karwar,Dispensary/Hospital,CATHOLIC DIOCESE OF KARWAR RURAL MEDICAL SERVICES ETC,0.4,12-Feb-16,Karnataka,Draft,
8657,FP/KA/IND/15460/2015,10464,NA,NUCLEAR POWER CORPORATION FOR KAIGA ATOMIC POWER PROJECT,Industry,Nuclear Power Corporation of India Ltd,3.7,18-Dec-15,Karnataka,Draft,
9791,FP/KA/MIN/16726/2015,15713,NA,"Jaisingpur (Balaji) Iron Ore Mine, Mining Lease No. 2564",Mining,BALAJI MINES & MINERALS PVT. LTD.,25.18,30-Nov-15,Karnataka,Draft,
5266,FP/KA/MIN/11571/2015,1244,NA,Karadikolla Iron Ore Mine,Mining,GOGGA GURUSHANTAIAH AND BROTHERS,15.1,27-Oct-15,Karnataka,Draft,
7030,FP/KA/MIN/13480/2015,2261,NA,"BHADIGUND LIMESTONE MINES, STEEL AUTHORITY OF INDIA LTD- VISVESVARAYA IRON AND STEEL PLANT, BHADRAVATHI",Mining,STEEL AUTHORITY OF INDIA LIMITED VISVESVARAYA IRON AND STEEL PLANT,37.93,3-Jul-15,Karnataka,Draft,
6801,FP/KA/WIND/13217/2015,8166,F (C)A/16.1/99/KAR/MISC,Sogi Wind Power Project,Wind Power,KARNATAKA RENEWABLE ENERGY DEVELOPMENT LIMITED,18,12-Jun-15,Karnataka,APPROVED,1-Sep-16
1786,FP/KA/MIN/7603/2014,1403,NA,"H R GAVIAPPA AND CO, IRON ORE MINING",Mining,H R GAVIAPPA AND CO,34,7-Apr-15,Karnataka,Draft,
3439,FP/KA/MIN/9579/2015,657,NA,"RENEWAL OF FOREST CLEARANCE FOR MINING OF IRON ORE OVER AN AREA OF 42.13HA. AT NIRUTHADI STATE RESERVE FOREST, CHITRADURGA DIVISION.",Mining,R PRAVEEN CHANDRA,42.13,24-Mar-15,Karnataka,Draft,
3702,FP/KA/TRANS/9866/2015,5720,NA,66/11 kV sub-station,Transmission Line,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,1,9-Mar-15,Karnataka,Pending at Nodal Officer,
4099,FP/KA/MIN/10297/2015,5878,NA,Hiremagi sulebhavi Aihole Iron ore Mine,Mining,MS DODDANAVAR BROTHERS,30.33,3-Mar-15,Karnataka,Draft,
1244,FP/KA/MIN/6738/2014,631,NA,Dharmapur Iron Ore Mine,Mining,ZEENATH TRANSPORT COMPANY,43.58,10-Dec-14,Karnataka,Draft,
1022,FP/KA/MIN/6308/2014,468,NA,KARIGANUR IRON ORE MINE,Mining,KARIGANUR MINRAL MINING INDUSTRY,115.08,6-Aug-14,Karnataka,Draft,
993,FP/KA/MIN/6272/2014,457,NA,SKMEPL Iron Ore Mining,Mining,Sri Kumar Swamy Mineral Exports Pvt Ltd,60.56,5-Aug-14,Karnataka,Draft,
20551,FP/KL/Others/29267/2017,47568,NA,Plantation Valley,Others,THE PLANTATION CORPORATION OF KERALA LIMITED,2,15-Sep-17,Kerala,Pending at DFO/DCF,
17557,FP/KL/Others/25859/2017,50438,NA,Research on Oil Palm,Others,INDIAN INSTITUTE OF OIL PALM RESEARCH,49,4-May-17,Kerala,Draft,
11831,FP/KL/HYD/19011/2016,31414,NA,AHPL,Hydel,AYYAPPA HYDRO POWER LIMITED,4.93,16-Jun-16,Kerala,Pending at CF/CCF,
9898,FP/KL/Others/16870/2015,12824,NA,Sri Mahavishnu Temple,Others,MANAGING TRUSTEE,0.76,6-Dec-15,Kerala,Draft,
9466,FP/KL/Others/16364/2015,15223,NA,agriculture,Others,PADMANABHA,2.83,5-Nov-15,Kerala,Draft,
37803,FP/MP/MIN/43378/2019,96923,NA,Mugdara Dolomite Mine,Mining,DALMIA CEMENT BHARAT LIMITED FORMERLY KNOWN AS OCL INDIA LIMITED,19.223,12-Mar-20,Madhya Pradesh,Pending at DFO/DCF,
36860,FP/MP/MIN/42428/2019,17366,NA,Dhanpuri Opencast Mine,Mining,SOUTH EASTERN COALFIELDS LIMITED,351.205,28-Oct-19,Madhya Pradesh,Draft,
27642,FP/MP/MIN/34173/2018,74161,NA,Diamond Mining Project Panna NMDC Limited,Mining,NMDC LIMITED DMP PANNA,74.018,18-Oct-19,Madhya Pradesh,PENDING WITH-SG,
27086,FP/MP/MIN/33660/2018,73065,6-MPC066/2018-BHO,"Renewal of Mining reserve of Ochre, White clay & Laterite",Mining,SHARAD KUMAR BANSAL..,4.6,30-Sep-19,Madhya Pradesh,Pending at ROHQ,8-Oct-18
34233,FP/MP/QRY/40791/2019,92208,NA,Sanjay Katare Stone Quarrying,Quarrying,SANJAY KATARE SAGAR,1,3-Sep-19,Madhya Pradesh,PENDING WITH-SG,
