id,Proposal_no,Onlineuserid,user_id,Proposal_Name,category,user_agency_name,area_applied,date_from_ua_to_nodal,State_Name,proposal_status,date_of_recomm
34236,FP/MP/QRY/40794/2019,92217,NA,Renewal of Stone quarrying lease by Dinesh Katare Sagar,Quarrying,DINESH KATARE SAGAR MP,1,9-Jul-19,Madhya Pradesh,PENDING WITH-SG,
34231,FP/MP/QRY/40789/2019,92209,NA,Sanjay Shukla Stone Quarrying,Quarrying,SANJAY SHUKLA SAGAR,1,26-Jun-19,Madhya Pradesh,PENDING WITH-SG,
15576,FP/MP/MIN/23108/2016,17366,NA,Bangwar UG Mine,Mining,SOUTH EASTERN COALFIELDS LIMITED,325.53,31-Jan-19,Madhya Pradesh,Draft,
18438,FP/MP/Others/26770/2017,38328,NA,Sarni UG Mine,Others,WESTERN COALFIELDS LIMITED,4,7-Sep-18,Madhya Pradesh,Draft,
19943,FP/MP/MIN/28571/2017,54972,8-62/1986-FC PT.,NIGAHI PROJECT NCL,Mining,NIGAHI PROJECT NORTHERN COALFIELDS LIMITED,874.146,7-Jun-18,Madhya Pradesh,Pending at HO for Stage-II,7-Jul-18
22920,FP/MP/QRY/31530/2018,64484,NA,Rajendra Kumar Tamrakar Mines,Quarrying,RAJENDRA KUMAR TAMRAKAR,2,27-Apr-18,Madhya Pradesh,Pending With UA,
20087,FP/MP/MIN/28743/2017,45591,8-194/1984-FC pt.,Amlohri Open Cast Project,Mining,NORTHERN COALFIELDS LIMITED,1195,23-Mar-18,Madhya Pradesh,IN-PRINCIPLE,7-Jul-18
9964,FP/MP/MIN/16937/2015,17366,NA,Amlai Opencast Mine,Mining,SOUTH EASTERN COALFIELDS LIMITED,85.06,11-Jan-17,Madhya Pradesh,Draft,
2664,FP/MP/MIN/8714/2014,2057,NA,sdfsd,Mining,A P TRIVEDI SONS,23,17-Dec-14,Madhya Pradesh,Draft,
1190,FP/MP/MIN/6587/2014,710,NA,MAIHAR CEMENT LIME STONE MINES,Mining,MAIHAR CEMENT,163.898,17-Dec-14,Madhya Pradesh,Pending with UA,
1444,FP/MP/MIN/7169/2014,911,NA,STONE QUARRY SANJAY KATARE,Mining,sanjay katare,1,19-Nov-14,Madhya Pradesh,Draft,
1448,FP/MP/MIN/7179/2014,1038,NA,STONE QUARRY SANJAY SHUKLA,Mining,SANJAY SHUKLA,1,19-Nov-14,Madhya Pradesh,Draft,
1438,FP/MP/MIN/7148/2014,912,NA,STONE QUARRY DINESH KATARE,Mining,dinesh katare,1,19-Nov-14,Madhya Pradesh,Draft,
39970,FP/MH/MIN/45559/2020,77800,NA,Dongri Buzurg Manganese mine,Mining,MOIL LIMITED,34.43,26-May-20,Maharashtra,Pending at DFO/DCF,
36838,FP/MH/QRY/42406/2019,98773,NA,Mukesh Stone Crushing Company,Quarrying,MUKESH STONE CRUSHING COMPANY,1.17,22-Nov-19,Maharashtra,Draft,
36814,FP/MH/MIN/42382/2019,77800,NA,Chikla Mining Project,Mining,MOIL LIMITED,70.07,19-Oct-19,Maharashtra,Pending With UA,
33920,FP/MH/QRY/40477/2019,91330,NA,Harasiddha Stone Industries,Quarrying,HARISIDDHA STONE INDUSTRIES,1.47,11-Jul-19,Maharashtra,Pending at DFO/DCF,
33908,FP/MH/QRY/40465/2019,91314,NA,Uma Stone Company,Quarrying,UMA STONE COMPANY,1.52,11-Jul-19,Maharashtra,Pending at DFO/DCF,
33910,FP/MH/QRY/40467/2019,91324,NA,Manoj Stone Crushing Company,Quarrying,MANOJ STONE CRUSHING COMPANY,1.2,11-Jul-19,Maharashtra,Pending at DFO/DCF,
33917,FP/MH/QRY/40474/2019,91328,NA,Mukesh And Company,Quarrying,MUKESH AND COMPANY,1,11-Jul-19,Maharashtra,Pending at DFO/DCF,
33918,FP/MH/QRY/40475/2019,91325,NA,Raghuvansh Stone Mines,Quarrying,RAGHUVANSH STONE MINES,1.19,11-Jul-19,Maharashtra,Pending at DFO/DCF,
1230,FP/MH/MIN/6704/2014,437,NA,Durgapur Open Cast Project,Mining,Western Coalfields Ltd,80.77,26-Feb-19,Maharashtra,PENDING WITH-SG,
30788,FP/MH/MIN/37294/2018,77800,NA,Renewal of Forest Clearance for diversion of forest land of 59.21 Ha.,Mining,MOIL LIMITED,59.21,11-Feb-19,Maharashtra,Pending With UA,
29310,FP/MH/MIN/35844/2018,77800,NA,Renewal of Diversion of Forest Land of Gumgaon Mine,Mining,MOIL LIMITED,15.61,19-Sep-18,Maharashtra,Pending at DFO/DCF,
21787,FP/MH/QRY/30379/2017,61403,NA,Blackstone Mining,Quarrying,WALIBUR CONSULTING PRIVATE LIMITED,1,21-Nov-17,Maharashtra,Draft,
11014,FP/MH/MIN/18096/2016,28851,NA,"Gahra Minerals Nagpur request for renewal of Iron Ore Mining in Protected Forest Survey No.405, Area 4.63 Ha. Village Gunjewahi, Tahsil Sindewahi, Dist. Chandrapur",Mining,.............,4.63,23-Dec-16,Maharashtra,Pending with UA,
12439,FP/MH/IRRIG/19724/2016,32736,NA,Agri Water Supply,Irrigation,SUBHASH JOTIRAM BHONGALE,0.069,30-May-16,Maharashtra,Draft,
9005,FP/MH/WATER/15863/2015,10523,NA,Augumentation of Water Supply Scheme for Kolhapur City Kalammawadi dam as source,Drinking Water,WATER RESOURCES DEPARTMENT,0.31,6-Oct-15,Maharashtra,Draft,
5007,FP/MH/MIN/11284/2015,6385,NA,"Renewal of 0.99 ha. forest land of traditional stone quarry area of Village Pachgaon, Tal. Umred, Dist. Nagpur for Mining Lease for stone quarry.",Mining,DILIP M SAMBARE,0.99,26-Apr-15,Maharashtra,Draft,
6149,FP/OR/MIN/12510/2015,6892,NA,Putulipani Iron Ore Mines,Mining,GANDHAMARDHAN SPONGE INDUSTRIES LTD,92.488,29-Jun-15,Orissa,Pending with UA,
2748,FP/OR/MIN/8822/2014,1555,NA,Daitari Iron Ore Mines,Mining,ODISHA MINING CORPORATION LTD,841.9325,21-May-15,Orissa,Pending With UA,
3234,FP/OR/MIN/9360/2015,5208,8-31/2015-FC,"Dalpahar Iron and Manganese Mine, Baitarani Reserve Forest, Champua Range, Keonjhar",Mining,MS DHARAMCHAND JAIN,101.171,27-Feb-15,Orissa,Pending with UA,15-Sep-15
3638,FP/OR/MIN/9792/2015,5420,8-29/2015-FC,Proposal for diversion of balance forest land over 79.252 ha during 1st RML of Panchapatmali South Block Mining lease over 528.262 ha in Koraput Dist. of Odisha by M/S National Aluminium Company Ltd.,Mining,NALCO,79.252,20-Feb-15,Orissa,IN-PRINCIPLE,24-Sep-15
3611,FP/OR/MIN/9763/2015,5597,NA,Katasai Manganese Mine,Mining,RUNGTA SONS PRIVATE LIMITED,70.76,12-Feb-15,Orissa,Pending With UA,
3817,FP/OR/MIN/10000/2015,5816,NA,Jajang Iron & Manganese Mines,Mining,RUNGTA MINES LTD,44.7,10-Feb-15,Orissa,Draft,
2482,FP/OR/MIN/8473/2014,1997,NA,Siljora-Kalimati Manganese & Iron Mines,Mining,MANGILALL RUNGTA,148.409,5-Jan-15,Orissa,Pending With UA,
23992,FP/RJ/MIN/32610/2018,67137,NA,Raniwara Granite mine (M. L. no. 524/90 Sh. Ranjan Khandwlwal & 176/88 sh. Sardar Bhai),Mining,RANIWARA GRANITE MINES JALORE,4.015,22-Mar-18,Rajasthan,Draft,
21919,FP/RJ/MIN/30502/2017,61780,NA,"Renewal of mining lease of Granite Mining (M. L No. 1.00 Ha, M. L No. 222/89) in Nabbi forest Block, Near Village- Nabbi, Tehsil & District- Jalore, Rajasthan in F/o Shri Bahadur Solanki",Mining,SOLANKI BAHADUR,1.4716,1-Dec-17,Rajasthan,Draft,
21217,FP/RJ/MIN/29824/2017,59780,NA,RENEWAL OF DIVERSION EXISTING MINING M.L. NO. 9/98,Mining,HARISH VYAS M.L. NO. 9/98,8.45,18-Oct-17,Rajasthan,Draft,
15217,FP/RJ/MIN/22617/2016,42960,NA,"Renewal of mining lease in f/o M/s J. K Stone crusher , village- golwara, Tehsil- Raniwara, District- Jalore (Raj.)",Mining,J K STONE CRUSHER,1,16-Mar-17,Rajasthan,Draft,
9890,FP/RJ/MIN/16850/2015,17204,NA,"Renewal of diversion of 9.080 ha. of forest land in favour of Shri Om Prakash Gupta for mining of Lime Stone Mine in Bahali, Tehsil – Rajgarh, District – Alwar in the State of Rajasthan.",Mining,SHRI OM PRAKASH GUPTA,9.08,10-Dec-15,Rajasthan,Draft,
4502,FP/RJ/MIN/10735/2015,6340,NA,Renewal of diversion of 167.707 ha of forest land in favour of Hindustan Copper Limited for mining of copper in Kolihan Copper Mine in Jhunjhunu District in the State of Rajasthan,Mining,DMG RAJASTHAN,167.707,1-Apr-15,Rajasthan,Draft,
2806,FP/RJ/MIN/8885/2014,2588,NA,RENEWAL OF LEASE for Mineral - Sand Stone ML 54/1980,Mining,RANJEET SINGH,0.72,30-Jan-15,Rajasthan,Draft,
2527,FP/RJ/MIN/8526/2014,1970,NA,"Renewal of Diversified Forest land of 6.00 Ha (5.00 Ha for Mining and 1.00 Ha for Approach Road) (ML No. 8/92)(MRML No. - 4/2000) near Village-Salumber, Tehsil- Salumber, Distt.- Udaipur (Rajasthan) in favour of M/s. Industrial Mineral Suppliers.",Mining,INDUSTRIAL MINERAL SUPPLIERS,6,5-Jan-15,Rajasthan,Draft,
2523,FP/RJ/MIN/8518/2014,2099,NA,"Diversified forest land of 70.40 ha. out of which 70.214 ha. was proposed for mining and 0.816 ha. for construction of approach road out side of mining lease, for mining of soapstone",Mining,ASSOCIATED SOAPSTONE DISTRIBUTING COMPANY PRIVATE LIMITED,70.4,27-Dec-14,Rajasthan,Draft,
2019,FP/RJ/MIN/7892/2014,848,NA,Renewal of diversion of 167.707 ha of forest land in favour of Hindustan Copper Limited for mining of copper in Kolihan Copper Mine in Jhunjhunu District in the State of Rajasthan,Mining,HINDUSTAN COPPER LIMITED,167.707,25-Nov-14,Rajasthan,Draft,
37362,FP/TN/Others/42935/2019,41839,NA,Ooty Radio Telescope,Others,TATA INSTITUTE OF FUNDAMENTAL RESEARCH,27.5,10-Jan-20,Tamil Nadu,Under Examination,
31233,FP/TN/Others/37766/2018,82252,NA,Vainu Bappu Observatory,Others,INDIAN INSTITUTE OF ASTROPHYSICS,40,22-Jan-19,Tamil Nadu,PENDING WITH-SG,
27469,FP/TN/MIN/33999/2018,2734,NA,MINING BLACK GRANITE IN YELLIKARADU BIT-I IN PALAMALAI RF OF SALEM FOREST DIVISION,Mining,M/S. TAMIL NADU MINERALS LIMITED,5.62,10-Dec-18,Tamil Nadu,Pending With UA,2-Jul-19
30638,FP/TN/ROAD/37144/2018,67022,NA,Repairs to the Existing Damaged Riding Surface in Echur Thiruporur Road Km 10/144 - 12/0,Road,DIVISIONAL ENGINEER CHENGALPATTU,0.696,20-Nov-18,Tamil Nadu,Draft,
18656,FP/TN/Others/27012/2017,50732,NA,"Erection of Cable towers, target boards and Gauge posts on the Left Bank of Moyyar River For Daily Water level and discharge observation.",Others,SOUTHERN RIVERS DIVISION CENTRAL WATER COMMISSION,0.0345,10-Jul-17,Tamil Nadu,Draft,
18360,FP/TN/Others/26688/2017,52986,NA,"Saccidananda Ashram, Shanthivanam",Others,"SACCIDANANDA ASHRAM, SHANTHIVANAM",0.404,16-Jun-17,Tamil Nadu,Draft,
17761,FP/TN/Others/26070/2017,50745,NA,"Fixing of Gauge post in River Bhavani at Athikkadavu , Coimbatore District Tamil Nadu",Others,SOUTHERN RIVERS DIVISION CENTRAL WATER COMMISSION,0.108,12-May-17,Tamil Nadu,Draft,
11097,FP/TN/MIN/18184/2016,2734,4-TNC016/2017-CHN,Yellikkaradu Bit 2 of Palamalai Reserve Forest in Salem Forest Division,Mining,M/S. TAMIL NADU MINERALS LIMITED,16.72,9-Jan-17,Tamil Nadu,APPROVED,8-Aug-17
14176,FP/TN/Others/21564/2016,31416,NA,ONGC EXPLOSIVE MAGAZINE,Others,OIL AND NATURAL GAS CORPORATION LIMITED,0.5539,11-Nov-16,Tamil Nadu,Draft,
14505,FP/TN/Others/21937/2016,41839,NA,Ooty Radio Telescope,Others,TATA INSTITUTE OF FUNDAMENTAL RESEARCH,28,21-Oct-16,Tamil Nadu,Draft,
11576,FP/TN/Others/18745/2016,31416,NA,EXPLOSIVE MAGAZINE SITE,Others,OIL AND NATURAL GAS CORPORATION LIMITED,0.48,4-Apr-16,Tamil Nadu,Draft,
6794,FP/TN/Others/13210/2015,7668,4-TNB024/2018-CHN,TNSTC wireless repeater station,Others,TAMILNADU ROAD SECTOR PROJECT,0.03158,28-Jul-15,Tamil Nadu,IN-PRINCIPLE,10-Jul-18
23880,FP/TG/MIN/32497/2018,66685,8-17/1998-FC Vol.,Renewal of 124 ha of already diverted land for GK OCP Phase-II for SCCL in Bhadradri Kothagudem District,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,124,1-May-19,Telangana,PENDING WITH-SG,1-May-19
28345,FP/TG/MIN/34878/2018,60080,NA,2nd Renewal of Indaram Mining Lease in cludung surface area of 15.18 Ha in Mancherial district - 929.29 Ha,Mining,SINAGRENI COLLIERIES COMPANY LIMITED,929.29,21-Jul-18,Telangana,Draft,
27067,FP/TG/Others/33641/2018,66685,8-277/1985-FC Vol.I,1st Renewal of Form-B proposal for diversion of 0.9 Ha of forest land being used for Submersible Pumps at Padmavathi Khani Coal mine in Bhadradri Kothagudem District - 0.9 Ha,Others,SINAGRENI COLLIERIES COMPANY LIMITED,0.9,23-May-18,Telangana,IN-PRINCIPLE,1-May-19
1986,FP/TG/QRY/7856/2014,1708,4-TSB020/2016-CHN,Renewal of Quarry Lease in the name of sri Laxmi Narasimha Metal Industry - 4.6281 ha,Quarrying,SRI LAKSHMI NARASIMHA METAL INDUSTRY,4.6281,21-Nov-14,Telangana,APPROVED,16-Jun-16
38251,FP/UP/MIN/43830/2020,105600,NA,RENEWAL OF LEASE OF 258 HA. FOREST LAND OF M/S NORTHERN COALFIELDS LIMITED,Mining,NORTHERN COALFIELDS LIMITED SINGRAULI,258,15-May-20,Uttar Pradesh,Draft,
20358,FP/UP/MIN/29061/2017,55202,NA,"Kakri Opencast Project - It lies in Dist. - Sonbhadra, Renukoot Forest Division in UP Block of Singrauli Coalfield, UP. Opencast coal mining is done using shovel - dumper combination.",Mining,NORTHERN COALFIELDS LIMITED,185.84,27-Feb-20,Uttar Pradesh,PENDING WITH-SG,
36935,FP/UP/MIN/42504/2019,2589,NA,Khadia and Dudhichua project,Mining,NORTHERN COALFIELDS LTD,1305,31-Jan-20,Uttar Pradesh,Draft,
33053,FP/UP/Others/39606/2019,85160,NA,"Lease Renewal of Previously Diverted for Kamla Nehru Krishi Vigyan Kendra, Running by Kamla Nehru Memorial Trust at Gata No.291,292,293,294/1,294/2,295 and 435 at Village: Ratanpur,District:Sultanpur",Others,KAMLA NEHRU MEMORIAL TRUST SULTANPUR,7.256014,14-Jan-20,Uttar Pradesh,Draft,
37107,FP/UP/THE/42678/2019,99428,NA,"Anpara Thermal Power Project-Forest land diverted to the Project for Power house & Colony, Dischrge channel & Ash pipe lines, Ash Dyke and MGR.",Thermal,UPRVUNL,141.87,1-Nov-19,Uttar Pradesh,Pending With UA,
32852,FP/UP/IND/39403/2019,86621,NA,"Construction of Ash disposal yard for Renusagar Captive Thermal Power Plant in 61.2348 ha. Forest land on lease in Village Auri (Bichhari) of Anpara Range of Renukoot Forest Division, Renukoot, Sonbhadra.(U.P.)",Industry,HINDALCO INDUSTRIES LIMITED P.O.RENUKOOT,61.2348,15-Mar-19,Uttar Pradesh,PENDING WITH-SG,
24029,FP/UP/TRANS/32650/2018,51075,NA,"Lease Renewal of 400kv Anpara Varanasi DC Transmission Line Passing Through Forest Division Mirzapur,Sonbhadra,Obra,Renukoot and Kaimur Wildlife",Transmission Line,UP POWER CORPORATION LTD,319.28,22-Mar-18,Uttar Pradesh,Pending at DFO/DCF,
10969,FP/UP/TRANS/18048/2016,8245,NA,Renewal of lease over 38.2591 ha. of forest land for laying of 132 KV transmission line in favour of Hindalco Industries Ltd. Unit- Renusagar Power Division Dist. Sonebhadra.,Transmission Line,Hindalco Industries Ltd.,38.2591,30-Jun-17,Uttar Pradesh,Pending at RO,16-Jul-19
17744,FP/UP/TRANS/26053/2017,51075,NA,"Lease Renewal of 400kv Anpara Varanasi DC Transmission Line Passing Through Forest Division Mirzapur,Sonbhadra,Obra,Renukoot and Kaimur Wildlife",Transmission Line,UP POWER CORPORATION LTD,319.28,9-May-17,Uttar Pradesh,Draft,
16473,FP/UP/SCH/24178/2017,47350,NA,"Nirmala Convent School, Renukoot, Dist: Sonebhadra U.P.",School,GRASIM INDUSTRIES LIMITED CHEMICAL DIVISION,1.6187,10-Mar-17,Uttar Pradesh,Draft,
12516,FP/UP/Others/19811/2016,35379,NA,"Renewal of diversion of 3.79 he. of forest land in favor of Grasim industries limited Renukoot for pump house, pipe line over head transmission line.",Others,GRASIM INDUSTRIES LIMITED CHEMICAL DIVISION,3.79,10-Jun-16,Uttar Pradesh,Draft,
17090,FP/UP/IND/25304/2017,49609,8-05/1993-FC Pt.,ASH DISPOSAL YARD FOR RENUSAGAR CAPTIVE THERMAL PLANT,Industry,HINDALCO,61.2348,10-Jun-08,Uttar Pradesh,APPROVED,21-Jun-12
13979,FP/UK/MIN/21355/2016,2576,8-37/2002-FC VOL,"Collection of Miner Minerals from Song Nadi, Bhopal pani Block no. 8",Mining,UTTARAKHAND FOREST DEVELOPMENT CORPORATION (UAFDC),64,9-Jun-20,Uttarakhand,Pending at HO,1-Sep-17
37910,FP/UK/Others/43485/2019,103363,NA,Smt. Parwati Devi W/O Shri Thakur Singh,Others,SMT. PARWATI DEVI W/O SHRI THAKUR SINGH,0.004,12-Jan-20,Uttarakhand,Draft,
37753,FP/UK/Others/43328/2019,102079,NA,Lease no.55,Others,PRACHIN JANKI GUFA LEASE55,0.121,10-Dec-19,Uttarakhand,Draft,
37632,FP/UK/MIN/43206/2019,102035,NA,"Picking of sand, bajri and boulders in Khasra No. 821 Ka, 816 Ri, Village Shaheedwala Grant, Tehsil Bhagwanpur, Distt. Haridwar",Mining,SWRAJ SINGH S/O MOHAR SINGH,0,5-Dec-19,Uttarakhand,Draft,
37607,FP/UK/Others/43181/2019,102066,NA,Daya Ram Dass Lease No.53,Others,DAYARAM DAS,0.2174,3-Dec-19,Uttarakhand,Draft,
37572,FP/UK/Others/43146/2019,96089,NA,Govind Kutt Lease No. 57,Others,GOVIND KUTI,0.0696,1-Dec-19,Uttarakhand,Draft,
37569,FP/UK/Others/43143/2019,96105,NA,Gopal Kutiya Renewal of Lease 58,Others,GOPAL KUTI,0.0736,1-Dec-19,Uttarakhand,Draft,
37000,FP/UK/Others/42571/2019,99498,NA,"Lease Renewal of Swami Shukdevanand Trust- Parmarth Ganga Ghat, Tehsil Yamkeshwar, District Pauri Garhwal",Others,SWAMI SHUKDEVANAND TRUST,0.97,30-Oct-19,Uttarakhand,Pending With UA,
36777,FP/UK/Others/42345/2019,96078,NA,Lease No. 69 Renewal,Others,SHRI SADHNA MANDIR,0.015,3-Oct-19,Uttarakhand,Draft,
36261,FP/UK/Others/41826/2019,95723,NA,Lease No.59 Yog Ganga Trust,Others,YOG GANGA TRUST,0.2296,4-Sep-19,Uttarakhand,Draft,
31750,FP/UK/MIN/38285/2019,2576,8-62/1999-FC vol.,"Collection of Minor Minerals From Song 1, 2, 3 and Jakhan 1, 2 of Dehradun Forest division",Mining,UTTARAKHAND FOREST DEVELOPMENT CORPORATION (UAFDC),628.8,26-Aug-19,Uttarakhand,Pending With UA,23-Sep-19
36017,FP/UK/Others/41582/2019,81006,NA,Sri Yogiraj Ramanand lease no. 56,Others,YOGI RAJ RAMANAND TRUST,0.101,16-Aug-19,Uttarakhand,Pending With UA,
35465,FP/UK/Others/41029/2019,29796,NA,Renewal of diversion of 0.0185 he of forest land in favour of Mr. Harak Sing S/o late. Shri. Udaisingh . Shop and residential building.,Others,HARAK SINGH,0.0185,9-Jul-19,Uttarakhand,Draft,
33489,FP/UK/Others/40044/2019,74929,NA,"Renewal of the lease for plot no 8 & , on Ranikhet Road Ramnagar on name of Harish Chandra Ghildiyal",Others,AGRO SERVICES AND FILLING CENTER,0.025,17-May-19,Uttarakhand,Pending With UA,
31923,FP/UK/Others/38460/2019,78580,NA,"Renewal of 0.759 ha. Forest land lease for construction of Office, Store room and employee quarters for Hanol-Tyuni HEP in Uttarkashi District in favour of M/S Sunflag Power Ltd.",Others,SUNFLAG HANOL TIUNI HEP,0.759,31-Jan-19,Uttarakhand,Pending at DFO/DCF,
25789,FP/UK/FVC/33367/2018,71429,NA,shop / store room,Forest Village Conversion,DALEEP SINGH,0.01114,28-Apr-18,Uttarakhand,Draft,
21193,FP/UK/Others/29799/2017,59662,NA,"Renewal of the lease For shop and Home on nainital to bhowali motar road at pines place, Name of Smt. Parwati Pandey .",Others,PARWATI PANDEY,0.0044,12-Mar-18,Uttarakhand,Draft,
13347,FP/UK/MIN/20690/2016,5839,8-34/2016-FC,Collection Of Miner Minerals from Nandhor and Kailash river.,Mining,UKFDC,468,26-Oct-16,Uttarakhand,IN-PRINCIPLE,8-Sep-16
13840,FP/UK/WATER/21206/2016,40039,NA,"Mrs puspa devi W/o puran chandra, village-panergav,post-takula,distt. almora Lease reneual proposal of water pipe line.",Drinking Water,PUSPA DEVI PANER GAV,0.00274,31-Aug-16,Uttarakhand,Draft,
10525,FP/UK/Others/17556/2016,25408,NA,Renewal of diversion of 0.0608 he of forest land in favour of Col Jagjeet singh rotela. Pre-built building development of tourist infrastructure and residential building,Others,COL JAGJEET SINGH RAUTELA,0.0608,15-Jan-16,Uttarakhand,Pending with UA,29-Mar-16
3782,FP/UK/Others/9959/2015,5780,NA,Jumpin Adventures Pvt. Ltd.,Others,JUMPIN ADVENTURES PVT. LTD.,0.157,15-Apr-15,Uttarakhand,Pending With UA,3-Oct-16
5324,FP/UK/Others/11638/2015,7075,NA,CIMAP Research Center Pantnagar Land Lease Renewal,Others,DIRECTOR CENTRAL INSTITUTE OF MEDICINAL AND AROMATIC PLANTS,115.79,13-Apr-15,Uttarakhand,Pending With UA,
5255,FP/UK/Others/11557/2015,6574,NA,Girja devi Mandir/Dharamshala lease renewal,Others,PURAN CHANDRA PANDEY,0.4,13-Apr-15,Uttarakhand,Pending with UA,16-Mar-16
3558,FP/UK/Others/9704/2015,5556,8B/UCP/09/300/2015/FC,"Chruch,Priest House,School,Teachers & Servant Quarter at Rosary Villa Bhowali",Others,DIRECTOR GENERAL OF THE ROMAN CATHOLIC DIOCESE OF ALLAHABAD,0.9921,30-Jan-15,Uttarakhand,IN-PRINCIPLE,16-Jun-15
